x1,y1,z1,x2,y2,z2
-1.768902183,6.710710049,8.388643265,0.776116192,1.610883951,5.914625168
-2.30987072,6.799357891,7.076239109,0.886713266,1.563504457,6.175654888
-1.744457603,7.246095657,5.488348007,0.818678379,1.609167576,6.11262846
1.24654305,7.608837605,5.287112713,0.809917927,1.568191886,6.213299751
-0.546860516,7.673182487,4.976129055,-1.035587549,1.557005525,6.113224506
0.698112845,7.578435421,5.045901299,-1.047956467,1.591745496,6.22358799
2.536412239,7.499007702,4.570484161,-0.955852091,1.538848042,6.23012495
-1.715390682,7.836034775,4.489659309,-0.966471255,1.556300044,6.301467896
3.328952789,6.91304493,7.003600121,-0.910662532,1.523913503,6.290643692
1.704026818,7.413214207,5.022559643,-0.916561902,1.52328968,6.299765587
2.683609962,7.477774143,4.87825346,-0.982602477,1.513320327,6.144323349
1.222249985,7.402695179,4.732100964,-0.963467419,1.509527922,6.254043102
-0.133029968,7.563365936,4.414542198,-1.030634761,1.486248851,6.161548138
-2.170586586,7.67963028,4.8505373,-0.914400876,1.519241571,6.271949291
-1.266214967,7.782655239,4.069355011,-1.192321062,1.513383031,6.003967285
